2020-04-21 20:04:548 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-21 20:04:746 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-21 20:04:828 INFO  HomePage :46 - click on bank manager login:Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-21 20:04:324 INFO  BankManagerLoginPage :35 - click in add customer tab[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-21 20:04:494 INFO  AddCustomerPage :39 - enter first name[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='First Name']]to the field[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='First Name']]
2020-04-21 20:04:968 INFO  AddCustomerPage :44 - enter last name[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='Last Name']]to the field[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='Last Name']]
2020-04-21 20:04:604 INFO  AddCustomerPage :50 - enter postcode[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='Post Code']]to the field[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='Post Code']]
2020-04-21 20:04:929 INFO  HomePage :33 - click on home button[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[@class='btn home']]
2020-04-21 20:04:240 INFO  HomePage :46 - click on bank manager login:Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-21 20:04:456 INFO  BankManagerLoginPage :41 - click on open account tab[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> css selector: body.ng-scope:nth-child(2) div.ng-scope:nth-child(3) div.container-fluid.ng-scope div.ng-scope div.border.box.padT20.ng-scope div.center > button.btn.btn-lg.tab:nth-child(2)]
2020-04-21 20:04:141 INFO  OpenAccountPage :35 - search customer[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]
2020-04-21 20:04:800 INFO  OpenAccountPage :42 - select customer name[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]from drop menu[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]
2020-04-21 20:04:114 INFO  OpenAccountPage :56 - select currency[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: currency]form list[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: currency]
2020-04-21 20:04:952 INFO  HomePage :33 - click on home button[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[@class='btn home']]
2020-04-21 20:04:103 INFO  HomePage :39 - click on customer log in :[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-21 20:04:496 INFO  CustomersPage :29 - search customer btn[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]
2020-04-21 20:04:767 INFO  CustomerLoginPage :39 - select name [[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]form drop down[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]
2020-04-21 20:04:05 INFO  CustomerLoginPage :45 - click on login btn[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[@class='btn btn-default']]
2020-04-21 20:04:237 INFO  AccountPage :50 - is log out btn displayed [[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[@class='btn logout']]
2020-04-21 20:04:518 INFO  AccountPage :45 - Click on login BtnProxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn logout']'
2020-04-21 20:04:554 INFO  CustomerLoginPage :50 - is your name is displayed[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //div[@class='form-group']//label]
2020-04-21 20:04:837 INFO  HomePage :33 - click on home button[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[@class='btn home']]
2020-04-21 20:04:66 INFO  HomePage :39 - click on customer log in :Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-21 20:04:420 INFO  CustomerLoginPage :39 - select name [[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]form drop down[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> id: userSelect]
2020-04-21 20:04:816 INFO  CustomerLoginPage :45 - click on login btnProxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-21 20:04:984 INFO  AccountPage :67 - click on deposit[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //body[@class='ng-scope']//div[@class='ng-scope']//div[@class='ng-scope']//button[2]]
2020-04-21 20:04:655 INFO  AccountPage :79 - enter amount :[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='amount']]to the filed[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //input[@placeholder='amount']]
2020-04-21 20:04:813 INFO  AccountPage :85 - click on deposit withdrow btn[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[@class='btn btn-default']]
2020-04-21 20:04:868 INFO  AccountPage :90 - get error msg[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //span[@class='error ng-binding']]
2020-04-21 20:04:323 INFO  HomePage :33 - click on home button[[ChromeDriver: chrome on WINDOWS (dae93b414dc3075b43e836a7884e988c)] -> xpath: //button[@class='btn home']]
2020-04-21 20:04:732 INFO  HomePage :39 - click on customer log in :Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
